Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q1,"A company uses AWS Cost Explorer to monitor its AWS costs. The company notices that Amazon Elastic Block Store (Amazon EBS) storage and snapshot costs increase every month. However, the company does not purchase additional EBS storage every month. The company wants to optimize monthly costs for its current storage usage. Which solution will meet these requirements with the LEAST operational overhead? Amazon EBS. Use Amazon EBS Elastic Volumes to reduce the size of the EBS volumes. to reduce the size of the EBS volumes. create and manage the snapshots according to the company's snapshot policy requirements.",Use logs in Amazon CloudWatch Logs to monitor the storage utilization of,Use a custom script to monitor space usage. Use Amazon EBS Elastic Volumes,Delete all expired and unused snapshots to reduce snapshot costs.,Delete all nonessential snapshots. Use Amazon Data Lifecycle Manager to,,,D,"=IF(H2=I2,1,0)",Design Cost-Optimized Architectures
Q2,"A company has NFS servers in an on-premises data center that need to periodically back up small amounts of data to Amazon S3. Which solution meets these requirements and is MOST cost-effective? to Amazon S3. premises to Amazon S3. center and a VPC, and copy the data to Amazon S3.",Set up AWS Glue to copy the data from the on-premises servers to Amazon S3.,"Set up an AWS DataSync agent on the on-premises servers, and sync the data",Set up an SFTP sync using AWS Transfer for SFTP to sync data from on,Set up an AWS Direct Connect connection between the on-premises data,,,B,"=IF(H3=I3,1,0)",Design Secure Architectures
Q3,"A company is developing software that uses a PostgreSQL database schema. The company needs to configure multiple development environments and databases for the company's developers. On average, each development environment is used for half of the 8-hour workday. Which solution will meet these requirements MOST cost-effectively? PostgreSQL database PostgreSQL Single-AZ DB instances On-Demand PostgreSQL-Compatible database using Amazon S3 Object Select",Configure each development environment with its own Amazon Aurora,Configure each development environment with its own Amazon RDS for,Configure each development environment with its own Amazon Aurora,Configure each development environment with its own Amazon S3 bucket by,,,C,"=IF(H4=I4,1,0)",Design Cost-Optimized Architectures
Q4,A company uses an Amazon CloudFront distribution to serve content pages for its website. The company needs to ensure that clients use a TLS certificate when accessing the company's website. The company wants to automate the creation and renewal of the TLS certificates. Which solution will meet these requirements with the MOST operational efficiency? 361 Global IT Certification Hub for the domain. validation for the domain.,Use a CloudFront security policy to create a certificate.,Use a CloudFront origin access control (OAC) to create a certificate.,Use AWS Certificate Manager (ACM) to create a certificate. Use DNS validation,Use AWS Certificate Manager (ACM) to create a certificate. Use email,,,C,"=IF(H5=I5,1,0)",Design High-Performing Architectures
Q5,"A company is developing an ecommerce application that will consist of a load-balanced front end, a container-based application, and a relational database. A solutions architect needs to create a highly available solution that operates with as little manual intervention as possible. Which solutions meet these requirements? (Choose two.) Availability Zone. application load. Fargate launch type to handle the dynamic application load. Amazon EC2 launch type to handle the dynamic application load.",Create an Amazon RDS DB instance in Multi-AZ mode.,Create an Amazon RDS DB instance and one or more replicas in another,Create an Amazon EC2 instance-based Docker cluster to handle the dynamic,Create an Amazon Elastic Container Service (Amazon ECS) cluster with a,Create an Amazon Elastic Container Service (Amazon ECS) cluster with an,,AD,"=IF(H6=I6,1,0)",Design Resilient Architectures
Q6,A company wants to analyze and generate reports to track the usage of its mobile app. The app is popular and has a global user base. The company uses a custom report building program to analyze application usage. The program generates multiple reports during the last week of each month. The 494 Global IT Certification Hub program takes less than 10 minutes to produce each report. The company rarely uses the program to generate reports outside of the last week of each month The company wants to generate reports in the least amount of time when the reports are requested. Which solution will meet these requirements MOST cost-effectively? Amazon EventBridge rule to start the EC2 instances when reports are requested. Run the EC2 instances continuously during the last week of each month. Lambda function when reports are requested. Schedule Amazon ECS to run the program when reports are requested. EventBndge rule to start the EC2 instances when reports are requested. Run the EC2 instances continuously during the last week of each month.,Run the program by using Amazon EC2 On-Demand Instances. Create an,Run the program in AWS Lambda. Create an Amazon EventBridge rule to run a,Run the program in Amazon Elastic Container Service (Amazon ECS).,Run the program by using Amazon EC2 Spot Instances. Create an Amazon,,,B,"=IF(H7=I7,1,0)",Design Cost-Optimized Architectures
Q7,A company wants to share accounting data with an external auditor. The data is stored in an Amazon RDS DB instance that resides in a private subnet. The auditor has its own AWS account and requires its own copy of the database. What is the MOST secure way for the company to share the database with the auditor? authentication to grant the auditor access. bucket. Create a new IAM user for the auditor. Grant the user access to the S3 bucket. Share the user's keys with the auditor to grant access to the object in the S3 bucket. auditor. Allow access to the AWS Key Management Service (AWS KMS) encryption key. 274 Global IT Certification Hub,Create a read replica of the database. Configure IAM standard database,Export the database contents to text files. Store the files in an Amazon S3,Copy a snapshot of the database to an Amazon S3 bucket. Create an IAM user.,Create an encrypted snapshot of the database. Share the snapshot with the,,,D,"=IF(H8=I8,1,0)",Design Secure Architectures
Q8,An ecommerce company runs several internal applications in multiple AWS accounts. The company uses AWS Organizations to manage its AWS accounts. 591 Global IT Certification Hub A security appliance in the company's networking account must inspect interactions between applications across AWS accounts. Which solution will meet these requirements? to the security appliance. Configure the application accounts to send traffic to the NLB by using an interface VPC endpoint in the application accounts. traffic directly to the security appliance. traffic to the security appliance. Configure the application accounts to send traffic to the GWLB by using an interface GWLB endpoint in the application accounts. directly to the security appliance.,Deploy a Network Load Balancer (NLB) in the networking account to send traffic,Deploy an Application Load Balancer (ALB) in the application accounts to send,Deploy a Gateway Load Balancer (GWLB) in the networking account to send,Deploy an interface VPC endpoint in the application accounts to send traffic,,,C,"=IF(H9=I9,1,0)",Design Secure Architectures
Q9,"A company sells datasets to customers who do research in artificial intelligence and machine learning (AI/ML). The datasets are large, formatted files that are stored in an Amazon S3 bucket in the us-east-1 Region. The company hosts a web application that the customers use to purchase access to a given dataset. The web application is deployed on multiple Amazon EC2 instances behind an Application Load Balancer. After a purchase is made, customers receive an S3 signed URL that allows access to the files. The customers are distributed across North America and Europe. The company wants to reduce the cost that is associated with data transfers and wants to maintain or improve performance. What should a solutions architect do to meet these requirements? requests to the S3 Transfer Acceleration endpoint. Continue to use S3 signed URLs for access control. origin. Direct customer requests to the CloudFront URL. Switch to CloudFront signed URLs for access control. Replication between the buckets. Direct customer requests to the closest Region. Continue to use S3 signed URLs for access control. Configure the web application to read the data from the existing S3 bucket. Implement access control directly in the application.",Configure S3 Transfer Acceleration on the existing S3 bucket. Direct customer,Deploy an Amazon CloudFront distribution with the existing S3 bucket as the,Set up a second S3 bucket in the eu-central-1 Region with S3 Cross-Region,Modify the web application to enable streaming of the datasets to end users.,,,B,"=IF(H10=I10,1,0)",Design High-Performing Architectures
Q10,"A company hosts its web applications in the AWS Cloud. The company configures Elastic Load Balancers to use certificates that are imported into AWS Certificate Manager (ACM). The company's security team must be notified 30 days before the expiration of each certificate. What should a solutions architect recommend to meet this requirement? Notification Service (Amazon SNS) topic every day, beginning 30 days before any certificate will expire. days. Configure Amazon EventBridge (Amazon CloudWatch Events) to invoke a custom alert by way of Amazon Simple Notification Service (Amazon SNS) when AWS Config reports a noncompliant resource. days. Create an Amazon CloudWatch alarm that is based on Trusted Advisor metrics for check status changes. Configure the alarm to send a custom alert by way of Amazon Simple Notification Service (Amazon SNS). 51 Global IT Certification Hub any certificates that will expire within 30 days. Configure the rule to invoke an AWS Lambda function. Configure the Lambda function to send a custom alert by way of Amazon Simple Notification Service (Amazon SNS).",Add a rule in ACM to publish a custom message to an Amazon Simple,Create an AWS Config rule that checks for certificates that will expire within 30,Use AWS Trusted Advisor to check for certificates that will expire within 30,Create an Amazon EventBridge (Amazon CloudWatch Events) rule to detect,,,D,"=IF(H11=I11,1,0)",Design Secure Architectures
Q11,"A company's application uses Network Load Balancers, Auto Scaling groups, Amazon EC2 instances, and databases that are deployed in an Amazon VPC. The company wants to capture information about traffic to and from the network interfaces in near real time in its Amazon VPC. The company wants to send the information to Amazon OpenSearch Service for analysis. Which solution will meet these requirements? send the log data to the log group. Use Amazon Kinesis Data Streams to stream the logs from the log group to OpenSearch Service. send the log data to the log group. Use Amazon Kinesis Data Firehose to stream the logs from the log group to OpenSearch Service. to the trail. Use Amazon Kinesis Data Streams to stream the logs from the trail to OpenSearch Service. to the trail. Use Amazon Kinesis Data Firehose to stream the logs from the trail to OpenSearch Service. 420 Global IT Certification Hub",Create a log group in Amazon CloudWatch Logs. Configure VPC Flow Logs to,Create a log group in Amazon CloudWatch Logs. Configure VPC Flow Logs to,Create a trail in AWS CloudTrail. Configure VPC Flow Logs to send the log data,Create a trail in AWS CloudTrail. Configure VPC Flow Logs to send the log data,,,B,"=IF(H12=I12,1,0)",Design Secure Architectures
Q12,"A company hosts its multi-tier, public web application in the AWS Cloud. The web application runs on Amazon EC2 instances, and its database runs on Amazon RDS. The company is anticipating a large increase in sales during an upcoming holiday weekend. A solutions architect needs to build a solution to analyze the performance of the web application with a granularity of no more than 2 minutes. What should the solutions architect do to meet this requirement? to perform further analysis. metrics to perform further analysis. Logs. Use Amazon CloudWatch metrics to perform further analysis. bucket to process raw data for further analysis with Amazon QuickSight.",Send Amazon CloudWatch logs to Amazon Redshift. Use Amazon QuickS ght,Enable detailed monitoring on all EC2 instances. Use Amazon CloudWatch,Create an AWS Lambda function to fetch EC2 logs from Amazon CloudWatch,Send EC2 logs to Amazon S3. Use Amazon Redshift to fetch logs from the S3,,,B,"=IF(H13=I13,1,0)",Design High-Performing Architectures
Q13,A company has a stateless web application that runs on AWS Lambda functions that are invoked by Amazon API Gateway. The company wants to deploy the application across multiple AWS Regions to provide Regional failover capabilities. What should a solutions architect do to route traffic to multiple Regions? failover configuration. CloudFront health checks to route traffic. endpoint in each Region. Configure the transit gateway to route requests. group to point to the API Gateway endpoint hostnames in each Region.,Create Amazon Route 53 health checks for each Region. Use an active-active,Create an Amazon CloudFront distribution with an origin for each Region. Use,Create a transit gateway. Attach the transit gateway to the API Gateway,Create an Application Load Balancer in the primary Region. Set the target,,,A,"=IF(H14=I14,1,0)",Design Resilient Architectures
Q14,A company is designing the architecture for a new mobile app that uses the AWS Cloud. The company uses organizational units (OUs) in AWS Organizations to manage its accounts. The company wants to tag Amazon EC2 instances with data sensitivity by using values of sensitive and nonsensitive. IAM identities must not be able to delete a tag or create instances without a tag. Which combination of steps will meet these requirements? (Choose two.) key and the required values. Enforce the tag values for the EC2 instances. Attach the tag policy to the appropriate OU. data sensitivity tag key and the required tag values. Enforce the tag values for the EC2 instances. Attach the SCP to the appropriate OU. 620 Global IT Certification Hub Create another tag policy that prevents identities from deleting tags. Attach the tag policies to the appropriate OU. is not specified. Create another SCP that prevents identities from deleting tags. Attach the SCPs to the appropriate OU. tag and the specified values. Configure an AWS Lambda function to delete the resource if a noncompliant resource is found.,"In Organizations, create a new tag policy that specifies the data sensitivity tag","In Organizations, create a new service control policy (SCP) that specifies the",Create a tag policy to deny running instances when a tag key is not specified.,Create a service control policy (SCP) to deny creating instances when a tag key,Create an AWS Config rule to check if EC2 instances use the data sensitivity,,AD,"=IF(H15=I15,1,0)",Design Secure Architectures
Q15,"A company wants to migrate an Oracle database to AWS. The database consists of a single table that contains millions of geographic information systems (GIS) images that are high resolution and are identified by a geographic code. When a natural disaster occurs, tens of thousands of images get updated every few minutes. Each geographic code has a single image or row that is associated with it. 231 Global IT Certification Hub The company wants a solution that is highly available and scalable during such events. Which solution meets these requirements MOST cost-effectively? running on an Amazon RDS Multi-AZ DB instance. geographic code as the key and the image S3 URL as the value. Configure DynamoDB Accelerator (DAX) during times of high load. URLs in a database table. Use Oracle running on an Amazon RDS Multi-AZ DB instance.",Store the images and geographic codes in a database table. Use Oracle,Store the images in Amazon S3 buckets. Use Amazon DynamoDB with the,Store the images and geographic codes in an Amazon DynamoDB table.,Store the images in Amazon S3 buckets. Store geographic codes and image S3,,,B,"=IF(H16=I16,1,0)",Design Resilient Architectures
Q16,A company is migrating applications from an on-premises Microsoft Active Directory that the company manages to AWS. The company deploys the applications in multiple AWS accounts. The company uses AWS Organizations to manage the accounts centrally. The company's security team needs a single sign-on solution across all the company's AWS accounts. The company must continue to manage users and groups that are in the on-premises Active Directory. Which solution will meet these requirements? Microsoft Active Directory. Configure the Active Directory to be the identity source for AWS IAM Identity Center. to connect the company's self-managed Active Directory with IAM Identity Center by using AWS Directory Service for Microsoft Active Directory. company's self-managed Active Directory. source within AWS IAM Identity Center.,Create an Enterprise Edition Active Directory in AWS Directory Service for,Enable AWS IAM Identity Center. Configure a two-way forest trust relationship,Use AWS Directory Service and create a two-way trust relationship with the,Deploy an identity provider (IdP) on Amazon EC2. Link the IdP as an identity,,,B,"=IF(H17=I17,1,0)",Design Secure Architectures
Q17,"A company runs a website that stores images of historical events. Website users need the ability to search and view images based on the year that the event in the image occurred. On average, users request each image only once or twice a year. The company wants a highly available solution to store and deliver the images to users. Which solution will meet these requirements MOST cost-effectively? that runs on Amazon EC2. that runs on Amazon EC2. images by using a static website. S3 Standard-IA to directly deliver images by using a static website. 408 Global IT Certification Hub",Store images in Amazon Elastic Block Store (Amazon EBS). Use a web server,Store images in Amazon Elastic File System (Amazon EFS). Use a web server,Store images in Amazon S3 Standard. Use S3 Standard to directly deliver,Store images in Amazon S3 Standard-Infrequent Access (S3 Standard-IA). Use,,,D,"=IF(H18=I18,1,0)",Design Cost-Optimized Architectures
Q18,"A company is developing a new application that uses a relational database to store user data and application configurations. The company expects the application to have steady user growth. The company expects the database usage to be variable and read-heavy, with occasional writes. The company wants to cost-optimize the database solution. The company wants to use an AWS managed database solution that will provide the necessary performance. 614 Global IT Certification Hub Which solution will meet these requirements MOST cost-effectively? ensure consistent performance for read and write operations. database capacity based on actual usage to accommodate the workload. to automatically scale throughput to accommodate the workload. replicas to accommodate the workload.",Deploy the database on Amazon RDS. Use Provisioned IOPS SSD storage to,Deploy the database on Amazon Aurora Serverless to automatically scale the,Deploy the database on Amazon DynamoDB. Use on-demand capacity mode,Deploy the database on Amazon RDS. Use magnetic storage and use read,,,B,"=IF(H19=I19,1,0)",Design High-Performing Architectures
Q19,A company uses Amazon RDS for PostgreSQL to run its applications in the us-east-1 Region. The company also uses machine learning (ML) models to forecast annual revenue based on near real-time reports. The reports are generated by using the same RDS for PostgreSQL database. The database performance slows during business hours. The company needs to improve database performance. Which solution will meet these requirements MOST cost-effectively? the read replica. the reports to be generated from the standby database. new database. Configure the reports to be generated from the new database. 568 Global IT Certification Hub the read replica.,Create a cross-Region read replica. Configure the reports to be generated from,Activate Multi-AZ DB instance deployment for RDS for PostgreSQL. Configure,Use AWS Data Migration Service (AWS DMS) to logically replicate data to a,Create a read replica in us-east-1. Configure the reports to be generated from,,,D,"=IF(H20=I20,1,0)",Design High-Performing Architectures
Q20,A company hosts a website on Amazon EC2 instances behind an Application Load Balancer (ALB). The website serves static content. Website traffic is increasing. The company wants to minimize the website hosting costs. Which solution will meet these requirements? distribution for the S3 bucket. 558 Global IT Certification Hub cluster for the S3 bucket. website. website.,Move the website to an Amazon S3 bucket. Configure an Amazon CloudFront,Move the website to an Amazon S3 bucket. Configure an Amazon ElastiCache,Move the website to AWS Amplify. Configure an ALB to resolve to the Amplify,Move the website to AWS Amplify. Configure EC2 instances to cache the,,,A,"=IF(H21=I21,1,0)",Design Cost-Optimized Architectures
Q21,A company is developing an application that will run on a production Amazon Elastic Kubernetes Service (Amazon EKS) cluster. The EKS cluster has managed node groups that are provisioned with On-Demand Instances. The company needs a dedicated EKS cluster for development work. The company will use the development cluster infrequently to test the resiliency of the application. The EKS cluster must manage all the nodes. Which solution will meet these requirements MOST cost-effectively? Instances. Provision the second node group with Spot Instances. Instances. Configure the user data to add the nodes to the EKS cluster.,Create a managed node group that contains only Spot Instances.,Create two managed node groups. Provision one node group with On-Demand,Create an Auto Scaling group that has a launch configuration that uses Spot,Create a managed node group that contains only On-Demand Instances.,,,A,"=IF(H22=I22,1,0)",Design Cost-Optimized Architectures
Q22,"A solutions architect is creating a data processing job that runs once daily and can take up to 2 hours to complete. If the job is interrupted, it has to restart from the beginning. How should the solutions architect address this issue in the MOST cost-effective manner? triggered by a cron job. scheduled event. triggered by an Amazon EventBridge scheduled event. Amazon EC2 triggered by an Amazon EventBridge scheduled event.",Create a script that runs locally on an Amazon EC2 Reserved Instance that is,Create an AWS Lambda function triggered by an Amazon EventBridge,Use an Amazon Elastic Container Service (Amazon ECS) Fargate task,Use an Amazon Elastic Container Service (Amazon ECS) task running on,,,C,"=IF(H23=I23,1,0)",Design Cost-Optimized Architectures
Q23,"A company operates a two-tier application for image processing. The application uses two Availability Zones, each with one public subnet and one private subnet. An Application Load Balancer (ALB) for the web tier uses the public subnets. Amazon EC2 instances for the application tier use the private subnets. Users report that the application is running more slowly than expected. A security audit of the web server log files shows that the application is receiving millions of illegitimate requests from a small number of IP addresses. A solutions architect 320 Global IT Certification Hub needs to resolve the immediate performance problem while the company investigates a more permanent solution. What should the solutions architect recommend to meet this requirement? addresses that are consuming resources. the IP addresses that are consuming resources. the IP addresses that are consuming resources. rule for the IP addresses that are consuming resources.",Modify the inbound security group for the web tier. Add a deny rule for the IP,Modify the network ACL for the web tier subnets. Add an inbound deny rule for,Modify the inbound security group for the application tier. Add a deny rule for,Modify the network ACL for the application tier subnets. Add an inbound deny,,,B,"=IF(H24=I24,1,0)",Design Secure Architectures
Q24,A software company needs to upgrade a critical web application. The application currently runs on a single Amazon EC2 instance that the company hosts in a public subnet. The EC2 instance runs a MySQL database. The application's DNS records are published in an Amazon Route 53 zone. A solutions architect must reconfigure the application to be scalable and highly available. The solutions architect must also reduce MySQL read latency. Which combination of solutions will meet these requirements? (Choose two.) failover routing policy to redirect the traffic to the second EC2 instance. 585 Global IT Certification Hub multiple Availability Zones. Add the instances to a target group behind a new Application Load Balancer. DB instance and reader DB instance in separate Availability Zones. multiple AWS Regions. Add the instances to a target group behind a new Application Load Balancer. read replicas.,Launch a second EC2 instance in a second AWS Region. Use a Route 53,Create and configure an Auto Scaling group to launch private EC2 instances in,Migrate the database to an Amazon Aurora MySQL cluster. Create the primary,Create and configure an Auto Scaling group to launch private EC2 instances in,Migrate the database to an Amazon Aurora MySQL cluster with cross-Region,,BC,"=IF(H25=I25,1,0)",Design Resilient Architectures
Q25,"A solutions architect wants to use the following JSON text as an identity-based policy to grant specific permissions: Which IAM principals can the solutions architect attach this policy to? (Choose two.) ( ""Statement"": [ ""Action"": [ ""asm:ListDocuments"", ""ssm:GetDocument"" ], ""Effect"": ""Allow"", ""Resource"": ""*"", GIC ""Sid"": -- } ], ""Version"": ""2012-10-17"" 264 Global IT Certification Hub",Role,Group,Organization,Amazon Elastic Container Service (Amazon ECS) resource,Amazon EC2 resource,,AB,"=IF(H26=I26,1,0)",Design Secure Architectures
Q26,A company runs a stateless web application in production on a group of Amazon EC2 On-Demand Instances behind an Application Load Balancer. The application experiences heavy usage during an 8-hour period each business day. Application usage is moderate and steady overnight. Application usage is low during weekends. The company wants to minimize its EC2 costs without affecting the availability of the application. Which solution will meet these requirements? any additional capacity that the application needs. for any additional capacity that the application needs. Instances for any additional capacity that the application needs.,Use Spot Instances for the entire workload.,Use Reserved Instances for the baseline level of usage. Use Spot instances for,Use On-Demand Instances for the baseline level of usage. Use Spot Instances,Use Dedicated Instances for the baseline level of usage. Use On-Demand,,,B,"=IF(H27=I27,1,0)",Design Resilient Architectures
Q27,A company has customers located across the world. The company wants to use automation to secure its systems and network infrastructure. The company's security team must be able to track and audit all incremental changes to the infrastructure. Which solution will meet these requirements? changes. changes. to track changes. Catalog to track changes.,Use AWS Organizations to set up the infrastructure. Use AWS Config to track,Use AWS CloudFormation to set up the infrastructure. Use AWS Config to track,Use AWS Organizations to set up the infrastructure. Use AWS Service Catalog,Use AWS CloudFormation to set up the infrastructure. Use AWS Service,,,B,"=IF(H28=I28,1,0)",Design Secure Architectures
Q28,A company deployed a serverless application that uses Amazon DynamoDB as a database layer. The application has experienced a large increase in users. The company wants to improve database response time from milliseconds to microseconds and to cache requests to the database. Which solution will meet these requirements with the LEAST operational overhead?,Use DynamoDB Accelerator (DAX).,Migrate the database to Amazon Redshift.,Migrate the database to Amazon RDS.,Use Amazon ElastiCache for Redis.,,,A,"=IF(H29=I29,1,0)",Design High-Performing Architectures
Q29,A media company has a multi-account AWS environment in the us-east-1 Region. The company has an Amazon Simple Notification Service (Amazon SNS) topic in a production account that publishes performance metrics. The company has an AWS Lambda function in an administrator account to process and analyze log data. The Lambda function that is in the administrator account must be invoked by messages from the SNS topic that is in the production account when significant metrics are reported. Which combination of steps will meet these requirements? (Choose two.) SNS to invoke the function. administrator account to buffer messages from the SNS topic that is in the production account. Configure the SQS queue to invoke the Lambda function. subscribe to the topic. topic notifications. Configure the EventBridge rule to forward notifications to the Lambda function that is in the administrator account. Use Amazon Athena to analyze the metrics from the administrator account.,Create an IAM resource policy for the Lambda function that allows Amazon,Implement an Amazon Simple Queue Service (Amazon SQS) queue in the,Create an IAM policy for the SNS topic that allows the Lambda function to,Use an Amazon EventBridge rule in the production account to capture the SNS,Store performance metrics in an Amazon S3 bucket in the production account.,,AC,"=IF(H30=I30,1,0)",Design High-Performing Architectures
Q30,A company is launching an application on AWS. The application uses an Application Load Balancer (ALB) to direct traffic to at least two Amazon EC2 instances in a single target group. The instances are in an Auto Scaling group for each environment. The company requires a development environment and a production environment. The production environment will have periods of high traffic. 150 Global IT Certification Hub Which solution will configure the development environment MOST cost-effectively? EC2 instance as a target. environment's Auto Scaling group.,Reconfigure the target group in the development environment to have only one,Change the ALB balancing algorithm to least outstanding requests.,Reduce the size of the EC2 instances in both environments.,Reduce the maximum number of EC2 instances in the development,,,D,"=IF(H31=I31,1,0)",Design Cost-Optimized Architectures
Q31,"A company is concerned that two NAT instances in use will no longer be able to support the traffic needed for the company's application. A solutions architect wants to implement a solution that is highly available, fault tolerant, and automatically scalable. What should the solutions architect recommend? same Availability Zone. different Availability Zones. different Availability Zones. Zones and deploy a Network Load Balancer.",Remove the two NAT instances and replace them with two NAT gateways in the,Use Auto Scaling groups with Network Load Balancers for the NAT instances in,Remove the two NAT instances and replace them with two NAT gateways in,Replace the two NAT instances with Spot Instances in different Availability,,,C,"=IF(H32=I32,1,0)",Design Resilient Architectures
Q32,A company is creating a new application that will store a large amount of data. The data will be analyzed hourly and will be modified by several Amazon EC2 Linux instances that are deployed across multiple Availability Zones. The needed amount of storage space will continue to grow for the next 6 months. Which storage solution should a solutions architect recommend to meet these requirements? allow access to the application instances. the EBS volume on the application instances. Mount the file system on the application instances. IOPS volume shared between the application instances.,Store the data in Amazon S3 Glacier. Update the S3 Glacier vault policy to,Store the data in an Amazon Elastic Block Store (Amazon EBS) volume. Mount,Store the data in an Amazon Elastic File System (Amazon EFS) file system.,Store the data in an Amazon Elastic Block Store (Amazon EBS) Provisioned,,,C,"=IF(H33=I33,1,0)",Design Resilient Architectures
Q33,"A company has deployed a multiplayer game for mobile devices. The game requires live location tracking of players based on latitude and longitude. The data store for the game must support rapid updates and retrieval of locations. The game uses an Amazon RDS for PostgreSQL DB instance with read replicas to store the location data. During peak usage periods, the database is unable to maintain the performance that is needed for reading and writing updates. The game's user base is increasing rapidly. What should a solutions architect do to improve the performance of the data tier? 451 Global IT Certification Hub Multi-AZ enabled. Dashboards. instance. Modify the game to use DAX. on instance. Modify the game to use Redis.",Take a snapshot of the existing DB instance. Restore the snapshot with,Migrate from Amazon RDS to Amazon OpenSearch Service with OpenSearch,Deploy Amazon DynamoDB Accelerator (DAX) in front of the existing DB,Deploy an Amazon ElastiCache for Redis cluster in front of the existing DB,,,D,"=IF(H34=I34,1,0)",Design Resilient Architectures
